orbcom_mmsi,vms_shipname,matches,ave_distance,mmsi_lats,mmsi_lons,vms_lats,vms_lons
525015105,SUMBER JAYA,1099,18931.96917,3,3,3,3
525024175,SUMBER JAYA,986,18213.66241,3,3,3,3
525003144,SUMBER BAHARI - II,975,19048.95235,3,3,3,3
529524000,BINTANG JAYA 1,879,18846.76864,3,3,3,3
529524000,SUMBER ALAM,879,18846.76864,3,3,3,3
525015069,SUMBER LAUT - V,751,17144.90103,3,3,3,3
309658000,LAUTAN PAHALA,622,16788.87938,3,3,3,3
525003074,SUMBER JAYA,585,24169.70938,3,3,3,3
525005031,NAILI - XII,576,16262.90145,3,4,3,4
525000000,FACIFIC MEMORY,573,17212.57503,3,3,3,3
525025063,PRIMA SUKSES - 2,520,18392.09429,3,3,3,3
371711000,YAKIN SUKSES,470,21950.49682,3,4,3,4
636013755,SINAR LAUT,442,12789.87915,3,3,3,3
525010018,SUMBER JAYA,434,18578.09704,3,3,3,3
525025103,SUMBER JAYA,429,18603.84149,3,3,3,3
533000000,SINAR LAUT,385,17412.93561,3,3,3,3
525016701,SUMBER JAYA,314,17751.73563,3,3,3,3
525024241,SINAR LAUT,308,15060.00123,3,3,3,3
538090427,MEKAR WIJAYA,305,18022.36719,3,3,3,3
525005011,FAJAR MULIA,304,16393.97673,3,3,3,3
525013016,SINAR LAUT,296,15664.70442,3,3,3,3
304081000,YAKIN SUKSES,274,21800.38074,3,3,3,3
538004621,SINAR LAUT,255,20285.38855,3,4,3,4
525005120,SUMBER JAYA,253,17672.66706,3,3,3,3
525015993,BLESSING - 03,242,20530.35075,3,3,3,3
351438000,BINTANG SAMUDRA MEKAR,229,16736.39476,3,3,3,3
9103933,UNITED - XIX,220,9377.516711,6,4,6,4
525019274,SAM JAYA,210,14450.58889,3,3,3,3
525020075,MINA HARAPAN JAYA,199,18301.06483,3,3,3,3
352375000,SINAR LAUT,189,21343.37514,3,4,3,4
477832200,SINAR LAUT,188,20856.279,3,4,3,4
538004176,MINA ANDALAS SAMUDERA IV,187,18733.37495,3,3,3,3
256475000,KAWAN BARU,179,19962.42887,3,3,3,3
525005031,BANGKA JAYA - I,173,20408.34172,3,4,3,4
304081000,SINAR LAUT,166,19278.36583,3,3,3,3
525015993,SAM JAYA,162,16692.22007,3,4,3,4
256475000,MANDIRI-18,162,16143.76548,3,3,3,3
525015993,SUMBER JAYA,152,18716.59313,3,5,3,5
477434200,FACIFIC MEMORY,148,16995.90779,3,3,3,3
525005015,NAILI - XII,147,15458.3817,3,3,3,3
457900092,HASIL LAUT JAYA 1,141,20336.82427,3,4,3,4
372983000,SINAR LAUT,138,22814.09805,3,3,3,3
525008117,CAMAR - 9,126,17668.6347,3,3,3,3
525008070,SUMBER JAYA,122,25140.82592,3,3,3,3
373875000,SINAR LAUT,121,22833.64791,3,4,3,4
9104523,SIN TOBA JAYA - 78,115,8009.908692,10,7,10,7
212145000,CAMAR - XX,112,20865.96026,3,4,3,4
256475000,SUMBER JAYA MAKMUR,112,20645.94743,4,3,4,3
525005031,INDOTUNA 168,106,29238.92005,3,3,3,3
567005000,SINAR LAUT,98,21408.91149,3,3,3,3
533061200,JALA JAYA II,97,21602.58028,3,3,3,3
357285000,BINTANG LAUT,94,20810.29271,3,3,3,3
636015980,LESTARI BAHARI,87,28932.92958,3,3,3,3
210567000,CAMAR - XX,83,18832.9998,3,4,3,4
503595000,SAMUDERA PERKASA - I,78,33330.9966,3,3,3,3
533130128,CAMAR - XX,74,22779.54279,3,3,3,3
525005011,ANDRE WIJAYA,73,22896.20936,4,3,4,3
525008083,PULAU MAS 138,72,26205.19676,3,5,3,5
564141000,MAJU JAYA - 688,68,28957.61286,3,4,3,4
533001800,CAMAR - XX,60,24889.56281,3,3,3,3
371711000,DEWI KUNTI - 2,59,27144.97594,3,3,3,3
371711000,MAKMUR JAYA ABADI - I,56,19708.8862,3,3,3,3
525003144,DUTA MAS - 2,56,17845.80171,3,3,3,3
567005000,MAKMUR JAYA ABADI - I,54,22312.45044,3,3,3,3
525000000,SINAR LAUT,54,20286.84967,3,3,3,3
525005032,SINAR LAUT,49,14308.58554,4,5,4,5
372728000,SINAR LAUT,46,24087.73985,3,3,3,3
477790500,SUN LI JAYA,45,23445.82235,3,3,3,3
431220000,SINAR LAUT,44,30855.12974,3,4,3,4
310535000,SINAR LAUT,43,25014.13623,3,4,3,4
247283500,BINTANG CAHAYA,43,27618.93682,3,4,3,4
356458000,SINAR LAUT,40,30476.07019,4,4,4,4
372983000,BINTANG CAHAYA,40,29018.21049,3,4,3,4
432712000,JALA JAYA II,38,36504.6773,3,3,3,3
525020075,INDAH JAYA MAKMUR - I,37,16370.91553,3,3,3,3
525003263,MITRA KARYA - II,37,47016.89409,3,3,3,3
525018289,NELAYAN JAYA - 168,36,43127.79613,4,4,4,4
538004176,SAFIR ALAM IV,35,20991.54468,3,3,3,3
564498000,BINTANG MAKMUR,35,32299.16197,3,3,3,3
255805792,SUMBER BUANA - 35,34,22952.1524,3,3,3,3
538005838,BINTANG CAHAYA,34,25819.35091,3,4,3,4
273000000,MINA ANDALAS SAMUDERA IV,33,18537.4739,3,3,3,3
525005012,MITRA PESONA,31,34998.29685,3,3,3,3
525016539,INDAH JAYA MAKMUR - I,31,18820.09616,3,3,3,3
525012357,MULIA 168,30,21069.16548,4,3,4,3
