MMSI,Fig 1A Jul-Dec 2014,Fig 1B Jan-Jun 2015,Fig 2 High Seas PS,Fig S2 Jan-Jun 2014
773000,,,X,
10421670,,,X,
36764000,,,X,
123450020,,,X,
123450100,,,X,
123450800,,,X,
224523000,X,X,X,X
224651000,X,,X,X
224782000,,,X,
303137000,X,X,X,X
338013000,X,X,,X
338074000,,X,,
338394000,X,X,X,
338622000,X,X,X,X
338712000,X,X,X,X
338793000,,X,,
345050700,,,X,
345080500,,,X,
345080700,,,X,
345140500,,,X,
345900418,,,X,
345900429,,,X,
349052425,,,X,
350107000,X,X,X,X
352419000,,,X,
353490000,,,X,
353770000,,,X,
355193000,,,X,
355651000,,,X,
356737000,,,X,
359001000,X,,X,
359003000,,,X,
365878412,X,X,X,X
366020000,X,X,X,
366827000,,,X,
366903000,,X,,
367084000,,X,,
367179000,X,X,X,
367344000,X,X,,
367359220,X,X,X,X
367463000,X,X,X,
367666000,,X,,
367767000,,X,,
368046000,,X,,
368489000,X,X,X,X
369961005,,X,,
371224000,,,X,
371401000,,,X,
371696000,,,X,
371759000,,,X,
371789000,,,X,
372880000,,,X,
412270001,X,X,,
412270057,,X,,
412270058,,X,,
412270059,,X,,
412283999,,X,,
412328728,,X,,
412328793,,X,,
412329416,X,X,,
412329417,,X,,
412329418,,X,,
412331014,,X,,
412331031,X,X,,
412348301,,X,,
412370006,,,,X
412370007,X,X,,X
412370008,X,X,,X
412371178,X,X,,X
412371179,,X,,X
412371191,X,X,,X
412371192,X,X,,X
412371197,,X,,
412371198,,X,,
412420237,X,,,X
412420238,X,X,,X
412420239,X,X,,X
412420435,,X,,
412420582,X,,,X
412420583,,X,,
412420584,X,,,X
412420585,X,X,,X
412420817,,X,,
412420818,,X,,
412420819,,X,,
412420821,,X,,
412420863,,X,,X
412420864,,X,,
412420865,,X,,X
412420892,X,X,,X
412420905,,X,,X
412420906,,,,X
412439605,,X,,
412439607,,X,,
412460053,,X,,
412460278,,X,,
412460279,,X,,
412460284,,X,,
412460288,,X,,
412460289,,X,,
412695550,,X,,
412695580,X,X,,X
412695620,X,X,,X
412695650,X,,,
412696240,,,X,
412985000,,X,,X
413011000,,X,,
413270220,,X,,
416000476,,X,,
416000804,,X,,
416002116,,X,,
416002596,X,X,,X
416003561,,X,,
416003600,X,X,,X
416004369,X,,,
416004409,,,,X
416004594,X,X,,X
416004662,,,,X
416004728,X,,,X
416010900,,,,X
416017500,X,X,,X
416072600,X,,,X
416101900,,X,,
416119800,,,,X
416120600,,X,,
416230600,X,X,,
416232500,,X,,
416233600,X,X,X,
416237500,,,X,
416238700,,X,X,
416238800,X,X,X,
416240900,X,X,X,
416241500,X,X,,X
416242900,,X,,
416243600,,X,X,
416243700,,X,,
416353000,,X,,
416411000,,X,X,
416500000,,X,,
416501000,,X,,
416532000,,X,,
416574000,X,,,
416631000,X,,,
416822000,,X,,
416898000,,X,,
431053000,X,,,
431101320,X,X,,
431155000,,,X,
431159000,,,X,
431500530,,X,,
431686000,,,,X
431817000,,,X,
432564000,,,X,
440045000,X,,,
440053000,X,X,X,X
440055000,X,X,,X
440104000,,,X,
440195000,X,X,,
440226000,,X,,
440233000,X,X,X,X
440239000,X,X,,X
440246000,X,,,
440339000,,X,,
440410000,,,X,
440444000,X,X,X,X
440450000,X,X,X,X
440462000,X,,,X
440479000,X,X,X,X
440492000,X,X,X,X
440504000,X,X,,X
440517000,X,,,X
440522000,X,X,,X
440542000,X,X,X,X
440549000,X,X,,X
440552000,X,X,X,X
440574000,X,X,,X
440575000,X,X,X,X
440584000,X,X,,X
440590000,X,X,,X
440595000,X,,,X
440604000,X,,,X
440612000,,,,X
440617000,X,X,,
440620000,X,X,,X
440623000,X,X,,X
440624000,X,X,,X
440628000,X,X,,X
440636000,X,X,,
440641000,X,X,,X
440644000,X,X,,
440645000,X,,,X
440646000,X,X,,X
440647000,X,,,X
440648000,X,X,,X
440654000,X,X,,X
440671000,X,X,X,X
440703000,X,X,,
440704000,X,X,,X
440705000,X,,,X
440731000,,,,X
440751000,X,,,X
440765000,X,X,,X
440770000,X,X,,X
440773000,X,,,X
440777000,X,,,
440780000,X,X,,
440781000,X,X,,X
440782000,X,,,X
440787000,X,X,,X
440788000,X,,,X
440792000,,,,X
440796000,X,,,X
440809000,X,,,
440820000,X,,,
440821000,X,X,,X
440823000,X,X,X,X
440826000,X,,,X
440858000,X,,,X
440886000,X,X,,
440894000,X,X,,X
440919000,X,X,,
440920000,X,,,X
440926000,X,X,,X
440931000,X,X,,
440933000,X,,,X
440934000,X,,,X
440935000,X,X,,
440936000,X,X,,
440944000,X,,,
440946000,X,,,
440950000,X,,,X
440952000,,X,,
440954000,X,X,,X
440963000,X,,,X
440968000,X,,X,X
440986000,X,,,X
440987000,,,,X
440987654,,,,X
440990000,X,X,X,X
440992000,X,,,X
441018000,,,,X
441024000,X,X,X,X
441043000,,,,X
441066000,X,X,X,X
441072000,X,X,,X
441084000,,X,,
441090000,X,,,X
441098000,X,X,,X
441166000,X,X,X,X
441251000,X,,,X
441374000,,,,X
441446000,X,X,X,X
441493000,X,X,X,X
441536000,X,X,,X
441584000,X,,,
441644000,X,,,X
441650000,X,,,X
441660000,X,,,X
441675000,X,X,X,X
441680000,,,,X
441811000,X,X,,X
441812000,,X,,X
441853000,X,X,X,X
441869000,,,,X
441930000,X,X,X,X
444080710,X,X,X,X
452005511,,X,,X
510054000,X,,X,X
510056000,,,X,
510057000,X,X,X,X
512000061,X,X,,X
512000089,X,,X,X
512012000,X,X,X,X
512085000,X,,X,X
520217000,X,,,X
520241000,X,X,,X
520243000,X,X,,X
529417000,X,X,X,X
529440000,X,X,X,X
529469000,X,X,X,X
529676000,X,X,X,X
529686000,X,X,,X
529687000,X,X,X,
529695000,X,X,X,
529729000,X,X,X,X
529783000,X,X,X,
533111749,,X,,
538060004,X,,X,
538060005,,X,,
538060006,,X,,
538060007,X,X,X,
538060008,X,X,X,
538060015,,X,,
538060016,,X,,
538060017,,X,X,X
538060018,,X,X,
548487100,X,,,
548831000,,X,,X
553111690,,X,,X
553111698,,X,,
553111712,,X,,
553111733,,X,,
553111735,,X,,
553111743,,X,,
553111744,,X,,
553111750,,X,,
553111756,,X,,
576093000,,X,,
576237000,,X,,
576695000,,X,,
576696000,,X,,
576737000,,X,,
576754000,,X,,
576765000,,X,,
576847000,,X,,
576890000,X,,,
576987000,,X,,
577206000,,X,,
730014000,,,X,
730015000,,,X,
730016000,,,X,
730017000,,,X,
730018000,,,X,
730019000,,,X,
730048000,,,X,
730049000,,,X,
730050000,,,X,
730051000,,,X,
730052000,,,X,
730059000,,,X,
735057501,,,X,
735057523,,,X,
735057559,,,X,
735057565,,,X,X
735057579,,,X,
735057587,,,X,
735057638,,,X,
735057642,,,X,
735058003,,,X,X
735058906,,,X,
735058912,,,X,
774559424,,,X,
775000000,,,X,
775602000,,,X,
775610060,,,X,
775613000,,,X,
775615000,,,X,
775616000,,,X,
775626000,,,X,
775627000,,,X,
775628000,,,X,
775630000,,,X,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
