bucket_lon,bucket_lat,count
-157.5,1.75,110
-157.5,2,37
-161,4.75,27
-161,4.5,25
-161,4.25,25
-161.25,4.25,24
-160,3.75,24
-160,3.5,24
-159.5,4.25,23
-160.25,4.25,23
-153.25,3.5,22
-161.25,4.5,22
-160.5,4,21
-160.5,3.75,20
-159.75,3.5,20
-160.25,4,19
-160.75,5,19
-160,4.25,19
-152.25,2.75,18
-160.75,4.75,18
-160.25,3.5,17
-159.75,3.25,16
-160.5,3.5,16
-160.25,3.75,15
-161,5,15
-160.5,4.25,14
-152.75,3,14
-160,4,14
-161,3.75,14
-153.25,3,13
-160.25,2.5,13
-160.75,4.25,13
-161.25,3.5,13
-161.5,4,13
-159,3.5,13
-153.25,3.75,12
-160,4.5,12
-160.25,4.75,12
-152.25,2.25,12
-159.25,3.25,12
-160.25,2,12
-159.75,4.25,12
-160.5,5,12
-152.5,2.5,11
-156.75,1.75,11
-153,2,11
-160.75,2,11
-160.25,3.25,11
-161.5,3.5,11
-152.5,3.25,11
-160.75,3.75,11
-161.25,4.75,11
-157,2,11
-159.5,3.25,11
-155.25,2.25,11
-152.25,3,11
-156.5,4,10
-167,3.75,10
-154,3.75,10
-152.25,3.25,10
-156,3.5,10
-160,4.75,10
-153,3,10
-153,2.5,10
-154,3.5,10
-161.5,4.25,10
-157.5,4,10
-162,3.75,10
-160.25,2.25,10
-160,3.25,10
-152.75,2.75,10
-159.25,4.25,10
-159,3.75,10
-153.5,3.75,9
-161.75,2.5,9
-159,3,9
-161,4,9
-159.75,4.5,9
-161.5,3.75,9
-155.75,3.75,9
-153.5,2,9
-152.5,4,9
-162,4,9
-153.75,3,9
-161.5,4.5,9
-156.25,4.5,8
-152.75,4,8
-156.5,3.25,8
-153.25,3.25,8
-152.75,3.25,8
-155.75,1.75,8
-160.75,3.5,8
-158.75,2.5,8
-160.25,5,8
-157.25,4.25,8
-153.25,2,8
-160.75,4,8
-161,3.5,8
-156.25,4.25,8
-160.75,4.5,8
-152.75,2,8
-159.75,4.75,8
-161.75,4,8
-165,3,8
-159.5,2.75,8
-152.5,2.75,8
-160,2.25,8
-152.75,2.5,7
-159.75,3,7
-159,3.25,7
-161.5,3.25,7
-161.25,2.75,7
-158.75,2.75,7
-152.5,4.25,7
-153.5,3.25,7
-152.5,2.25,7
-154,4,7
-159,4.25,7
-159.25,4,7
-157,1.75,7
-160,2.5,7
-156,4.5,7
-153,1.75,7
-153,2.75,7
-152.5,3,7
-159.25,3,7
-162.25,3.25,7
-158.75,2,7
